comment,attack
"['one', 'calling', 'hoe', 'shit', 'cuz', 'bitch', 'justin', 'fucking', 'girl', 'friend', 'back', 'fuck', 'quit', 'throwing', 'self', 'whore', 'ok', 'didnt', 'one']",1
"['kum', 'den', 'wit', 'dat', 'big', 'dick', 'yew', 'got', 'ta', 'tell', 'mi', 'wea', 'ta', 'kum']",1
"['beautiful', 'girl', 'dont', 'think', 'shoul', 'things', 'cause', 'fucking', 'life', 'sorry', 'say', 'better', 'life', 'throw', 'away', 'thats', 'bad']",1
"['wait', 'nevermind', 'signed', 'dumb', 'ass']",1
"['bitchezz', 'beloww', 'would', 'say', 'ur', 'name', 'yeww', 'put', 'anonymus', 'pussy', 'ass', 'bitchez', 'talkin', 'shit', 'alexis', 'ckan', 'show', 'herr', 'fuken', 'boobs', 'wants', 'jealous', 'cuz', 'yeww', 'prolly', 'gawt', 'ok', 'tho', 'bitch', 'wen', 'sayz', 'write', 'lmao', 'haters', '3']",1
"['gon', 'na', 'call', 'someone', 'fake', 'least', 'speel', 'right', 'geez', 'ily', 'tabiaah', 'hahaha', 'yeahhh']",1
"['hey', 'laura', 'sup', 'mike', '0', 'yoooo', 'nigglett']",1
"['yeah', 'thanks', 'back', 'next', 'time', 'someone', 'tells', 'going', 'kill', 'honestly', 'one', 'life', 'ever', 'told', 'yesterday', 'xoxoashleyxo', 'wants']",1
"['think', 'care', 'think', 'highly', 'estimated', 'opinion', 'bitch', 'haha', 'cutie', 'r', 'nahttt']",1
"['oh', 'frances', 'hunny', 'dont', 'try', 'talk', 'ghetto', 'white', 'ass', 'doesnt', 'fucking', 'scare', 'break', 'fucking', 'half', 'dude', 'back', 'fuck', 'probably', 'even', 'know', 'get', 'fuck', 'fucken', 'page', 'stay', 'fuck', 'away', 'frances']",1
"['know', 'remind', 'old', 'man', 'oncee', 'nopee', 'butt', 'like', 'said', 'thanks', 'imforming']",1
"['many', 'times', 'douche', 'sex', 'excusee']",1
"['aww', 'beat', 'ass', 'badass', 'enough', 'exactly', 'imeant', 'pussssssyss', '33333', 'cause', 'probably', 'fuckin', 'girl', 'tell', 'youu', 'ill']",1
"['ever', 'called', 'whore', 'oh', 'man', 'hurt', 'sooo', 'bad', 'haha', 'people', 'say', 'dont']",1
"['slut', 'r', 'insert', 'winky', 'face']",1
"['suck', 'nigga']",1
"['ballfuck', 'real', 'get', 'vv', 'thankyou']",1
"['haha', 'keep', 'saying', 'shit', 'ill', 'kill', 'well', 'go', 'jail']",1
"['really', 'rude', 'heck', 'problem', 'dunno']",1
